feature_name,importance
num__OverallQual,0.5544621055575096
num__GrLivArea,0.12291367378801347
num__TotalBsmtSF,0.034233710745378634
num__2ndFlrSF,0.031180808885406103
num__BsmtFinSF1,0.027653436619897057
num__1stFlrSF,0.02694413449836662
num__LotArea,0.017561966172079273
num__GarageArea,0.015578025408871403
num__GarageCars,0.013764160218561033
num__YearBuilt,0.0119954150754995
num__LotFrontage,0.00817196418896495
num__YearRemodAdd,0.00729480939299036
cat__BsmtQual_Ex,0.006676022159606735
num__FullBath,0.006030096495778415
cat__GarageFinish_Unf,0.005984488000836298
num__TotRmsAbvGrd,0.005677718005885651
num__GarageYrBlt,0.0056759299732264444
num__OpenPorchSF,0.005496027335941832
num__BsmtUnfSF,0.004706712494123342
num__WoodDeckSF,0.004190339771137208
num__OverallCond,0.0036407544187033593
num__MasVnrArea,0.0036173949560547396
cat__BsmtQual_Gd,0.0035385353630923958
num__Fireplaces,0.003357140050313088
num__ScreenPorch,0.003162983055125014
num__MoSold,0.002989020955703902
cat__KitchenQual_Gd,0.0027093261133459834
num__MSSubClass,0.002132777885490778
cat__ExterQual_Ex,0.0019188900996012519
cat__CentralAir_Y,0.001918584843067298
cat__CentralAir_N,0.0018871165270974686
cat__GarageType_Detchd,0.0018470113682197095
num__BedroomAbvGr,0.0015358863932056664
cat__BsmtExposure_Gd,0.0014754534946507507
cat__LotShape_Reg,0.001423432419866393
num__YrSold,0.0013125070978195108
cat__MSZoning_RM,0.0012256895919095466
cat__KitchenQual_Ex,0.0012135235465687646
cat__BsmtExposure_No,0.0011854058868720166
cat__BsmtQual_TA,0.0010936422645657752
cat__KitchenQual_TA,0.0010623683696946683
cat__ExterQual_Gd,0.0009998205004220287
num__PoolArea,0.0008607143840242673
cat__Condition1_Norm,0.0008535886691819635
cat__GarageType_Attchd,0.0008392052390606913
cat__SaleType_New,0.0008151362886426764
num__KitchenAbvGr,0.0007922636162964756
num__HalfBath,0.0007516932256178816
cat__ExterQual_TA,0.0006894660018649767
num__EnclosedPorch,0.0006858357227709857
num__BsmtFullBath,0.0006854321152380971
cat__LandContour_Bnk,0.0006366841192490176
cat__Exterior1st_Wd Sdng,0.0006197831735241007
cat__LotConfig_CulDSac,0.0005931882006800273
cat__LotConfig_Corner,0.0005915294609306381
cat__Neighborhood_Edwards,0.0005674370391052879
num__BsmtFinSF2,0.000551459996746756
cat__SaleCondition_Partial,0.0005496000428875961
cat__Neighborhood_Crawfor,0.0005424369033448746
cat__LandContour_Lvl,0.0005107126398392028
cat__RoofStyle_Hip,0.0005059841540610418
cat__SaleCondition_Normal,0.0004982981486885609
cat__FireplaceQu_Gd,0.0004979844323760097
cat__GarageFinish_RFn,0.0004920193728216966
cat__BsmtFinType1_GLQ,0.0004904128221382202
cat__Neighborhood_NoRidge,0.0004894646064172096
cat__HouseStyle_2Story,0.00048324695394431574
cat__MSZoning_RL,0.0004735588611949442
cat__BsmtFinType2_ALQ,0.000469639068407591
cat__LandSlope_Gtl,0.000466110945477107
cat__GarageFinish_Fin,0.000440732600374259
cat__Functional_Typ,0.0004378682503490387
cat__Exterior1st_MetalSd,0.0004305407777815496
cat__LotConfig_Inside,0.00042565251535737775
cat__RoofMatl_CompShg,0.0004141851816144809
cat__HeatingQC_Ex,0.00041249992474909786
cat__Neighborhood_NAmes,0.000395669263471665
cat__FireplaceQu_TA,0.00038981998136773357
cat__FireplaceQu_Ex,0.0003863843423479377
cat__Exterior2nd_VinylSd,0.00038491166835064034
cat__BsmtExposure_Av,0.0003812208331216707
cat__SaleType_WD,0.0003783814966989396
cat__HeatingQC_TA,0.0003776634039897195
cat__LotShape_IR1,0.00037134144468477356
cat__Foundation_PConc,0.0003672760605768879
cat__Neighborhood_Timber,0.0003563824818854768
cat__Exterior2nd_MetalSd,0.0003529756907635321
cat__MasVnrType_Stone,0.00031425169865222964
cat__Exterior1st_VinylSd,0.00030926157095000593
cat__BsmtFinType1_Unf,0.000307674230252539
cat__ExterCond_TA,0.00030716090861917345
cat__MasVnrType_BrkFace,0.0002995661770401559
cat__RoofStyle_Gable,0.00028777477165090374
cat__SaleCondition_Family,0.0002850044729064984
cat__BsmtFinType1_ALQ,0.00027544936685050097
cat__Neighborhood_CollgCr,0.00026872796156910257
cat__SaleCondition_Abnorml,0.0002677237699477888
cat__HeatingQC_Gd,0.00026125643114487747
cat__Exterior1st_BrkFace,0.0002596671358481061
cat__PavedDrive_N,0.0002440590687495409
cat__Neighborhood_StoneBr,0.00024274521317364637
cat__LandContour_HLS,0.000242702113833628
cat__Exterior2nd_ImStucc,0.00024110667651663936
cat__Condition1_PosN,0.00023796101245156714
cat__Exterior1st_HdBoard,0.00022984148957293294
num__3SsnPorch,0.00022731355100538507
cat__Exterior2nd_Plywood,0.0002237353624456605
cat__HeatingQC_Fa,0.0002222988952568941
cat__GarageType_BuiltIn,0.00020900265208095454
cat__ExterCond_Gd,0.00020809682797793432
cat__Neighborhood_NridgHt,0.00020151155220001575
cat__Neighborhood_Somerst,0.00019448738305390391
cat__Foundation_CBlock,0.0001924837070613666
cat__Neighborhood_ClearCr,0.00018724350948850837
cat__LandSlope_Mod,0.00018693978002061866
cat__LotShape_IR2,0.00018437253178621798
cat__BldgType_1Fam,0.0001720648571450697
cat__LotShape_IR3,0.00017053259653442975
cat__Neighborhood_OldTown,0.0001688665649996672
num__LowQualFinSF,0.000167918877201708
cat__Foundation_BrkTil,0.0001632781559380117
cat__Condition2_Norm,0.00016191194791682423
cat__BsmtExposure_Mn,0.0001609133127149962
cat__Condition1_Feedr,0.00015906617160755867
cat__HouseStyle_1Story,0.00015862216584046799
cat__Exterior2nd_HdBoard,0.00015626728575274205
cat__Exterior2nd_Wd Sdng,0.0001540067743968654
cat__BsmtCond_Fa,0.00014448474597778763
cat__HouseStyle_1.5Fin,0.00014084775550720168
cat__RoofMatl_ClyTile,0.00013360357898819773
cat__BsmtFinType1_BLQ,0.00013356547042504266
cat__Functional_Mod,0.00013248531399421345
cat__Exterior1st_Plywood,0.00013023937384733271
cat__Fence_MnPrv,0.00012453898871033376
cat__PavedDrive_Y,0.00012016811889308829
cat__FireplaceQu_Po,0.00011892500774854472
num__BsmtHalfBath,0.0001153048030978391
cat__Fence_GdWo,0.00011191558768665872
cat__Neighborhood_Gilbert,0.00011001299751185665
cat__RoofStyle_Flat,0.00010997427553350832
cat__BsmtFinType1_Rec,0.00010704777170419982
cat__BsmtFinType1_LwQ,0.00010580478473432641
cat__Heating_GasA,0.00010542924542710752
cat__Exterior2nd_CmentBd,0.00010490436852574956
cat__BsmtCond_TA,0.00010293792862356855
cat__Condition1_Artery,0.00010151473925834848
cat__Exterior1st_CemntBd,0.00010048341401108202
cat__Fence_GdPrv,9.844541343182225e-05
cat__BsmtCond_Gd,9.62249162930953e-05
cat__Electrical_SBrkr,9.561074379285435e-05
cat__GarageQual_TA,8.672929309789811e-05
cat__MSZoning_FV,8.383437989199634e-05
cat__KitchenQual_Fa,8.171100927416632e-05
cat__LandContour_Low,8.092881917730198e-05
num__MiscVal,8.055793237459857e-05
cat__HouseStyle_SLvl,7.873908531901957e-05
cat__ExterCond_Fa,7.80458334852749e-05
cat__Neighborhood_Sawyer,7.663394631480542e-05
cat__Alley_Grvl,7.520709697443932e-05
cat__Electrical_FuseA,6.935988535436657e-05
cat__BsmtFinType2_Unf,6.60443238328556e-05
cat__Neighborhood_NWAmes,5.983141226143149e-05
cat__BsmtFinType2_Rec,5.922550676576653e-05
cat__LotConfig_FR3,5.852982179296107e-05
cat__Condition1_RRAe,5.788478473351453e-05
cat__Functional_Min1,5.735820731075782e-05
cat__BsmtFinType2_LwQ,5.728556118631397e-05
cat__Condition2_PosN,5.6790899221606854e-05
cat__PoolQC_Ex,5.5417691521288265e-05
cat__LotConfig_FR2,5.459197411498854e-05
cat__BldgType_Duplex,5.4246813046580015e-05
cat__SaleType_COD,5.349102155285469e-05
cat__Exterior2nd_BrkFace,5.311676604240391e-05
cat__Neighborhood_BrkSide,5.282880028264835e-05
cat__Exterior1st_BrkComm,5.242127765935754e-05
cat__Exterior2nd_Wd Shng,5.09487536611163e-05
cat__Exterior2nd_Stucco,4.722577098396887e-05
cat__Functional_Maj2,4.710824449318874e-05
cat__BldgType_TwnhsE,4.649234434982638e-05
cat__Neighborhood_SWISU,4.5673475977578675e-05
cat__BsmtFinType2_BLQ,4.369794119059951e-05
cat__BldgType_2fmCon,4.2915673686880924e-05
cat__BsmtQual_Fa,4.2678390386385016e-05
cat__Alley_Pave,4.24350974181235e-05
cat__PavedDrive_P,4.154291608489801e-05
cat__Functional_Maj1,4.1376047953452134e-05
cat__HouseStyle_2.5Fin,4.103842060212812e-05
cat__RoofMatl_Tar&Grv,4.075797538745439e-05
cat__GarageQual_Fa,3.892500617970853e-05
cat__Functional_Min2,3.7684560837128576e-05
cat__Functional_Sev,3.684677880587517e-05
cat__GarageCond_Gd,3.641802873418389e-05
cat__GarageType_CarPort,3.4946858892521646e-05
cat__Neighborhood_SawyerW,3.4684918030532576e-05
cat__Exterior2nd_Brk Cmn,3.2184816218535274e-05
cat__MSZoning_RH,2.864669407672851e-05
cat__SaleType_CWD,2.7708694003254068e-05
cat__Neighborhood_Mitchel,2.7646409836336803e-05
cat__Neighborhood_IDOTRR,2.7529083583826746e-05
cat__GarageQual_Ex,2.6653509139485282e-05
cat__MSZoning_C (all),2.5864925422690032e-05
cat__Foundation_Stone,2.5094837254177295e-05
cat__Neighborhood_BrDale,2.487406121675147e-05
cat__Condition1_RRAn,2.483497244714609e-05
cat__LandSlope_Sev,2.4451755535785587e-05
cat__BldgType_Twnhs,2.3047632420514108e-05
cat__HouseStyle_2.5Unf,2.299179655298078e-05
cat__Exterior1st_Stucco,2.267892116458554e-05
cat__GarageQual_Gd,2.257714132248083e-05
cat__MasVnrType_BrkCmn,2.151901194801152e-05
cat__GarageType_Basment,2.1361534457211748e-05
cat__GarageCond_TA,2.0503441119186422e-05
cat__Neighborhood_Veenker,2.0066799369592408e-05
cat__RoofStyle_Gambrel,1.9257372175543112e-05
cat__Electrical_FuseF,1.908483694809946e-05
cat__Neighborhood_Blmngtn,1.8301043273906312e-05
cat__PoolQC_Gd,1.739129057480864e-05
cat__Exterior2nd_Stone,1.7351582647987834e-05
cat__GarageCond_Fa,1.720139023365865e-05
cat__SaleCondition_Alloca,1.3785670017934298e-05
cat__Foundation_Slab,1.3580211852209217e-05
cat__ExterCond_Ex,1.3092180803339105e-05
cat__Exterior1st_AsbShng,1.274451191543002e-05
cat__Exterior2nd_AsbShng,1.2606447869331549e-05
cat__FireplaceQu_Fa,1.2364027345317773e-05
cat__Exterior2nd_AsphShn,1.1926999897589652e-05
cat__HouseStyle_SFoyer,1.1403564149615468e-05
cat__Heating_OthW,1.1349999782673805e-05
cat__Condition1_PosA,1.0956176351670456e-05
cat__Heating_GasW,9.418382179624321e-06
cat__RoofMatl_WdShngl,9.063255131866298e-06
cat__Foundation_Wood,8.533116717018596e-06
cat__ExterQual_Fa,8.486768097936118e-06
cat__RoofStyle_Shed,8.42870425785222e-06
cat__SaleType_ConLD,7.738105768795313e-06
cat__Condition1_RRNn,7.68722672667247e-06
cat__Street_Grvl,7.176557230017981e-06
cat__Heating_Grav,6.97920043294261e-06
cat__Exterior1st_WdShing,6.921580398655696e-06
cat__SaleType_ConLw,5.663528769916609e-06
cat__GarageType_2Types,5.106341488831378e-06
cat__RoofMatl_Metal,4.979894456871446e-06
cat__SaleType_Con,4.976533562341343e-06
cat__Fence_MnWw,4.793180544101561e-06
cat__HouseStyle_1.5Unf,4.411812003480492e-06
cat__RoofMatl_WdShake,4.385424448363643e-06
cat__Exterior1st_AsphShn,4.335934742007537e-06
cat__Condition2_Artery,4.191542231322756e-06
cat__MiscFeature_Shed,3.828255815606441e-06
cat__Electrical_FuseP,3.576408477225768e-06
cat__BsmtFinType2_GLQ,3.3873359534402323e-06
cat__Exterior1st_Stone,2.7980789996906445e-06
cat__Neighborhood_NPkVill,2.7572403728029893e-06
cat__GarageCond_Po,2.6036445730590295e-06
cat__MiscFeature_TenC,2.094855351455056e-06
cat__SaleType_ConLI,1.99595273356508e-06
cat__Neighborhood_MeadowV,1.976690408139055e-06
cat__PoolQC_Fa,1.6028945536507095e-06
cat__Heating_Wall,1.5022221139719456e-06
cat__GarageQual_Po,1.4920938813220781e-06
cat__Condition2_Feedr,1.2373442373284835e-06
cat__RoofStyle_Mansard,1.184778032140226e-06
cat__Street_Pave,1.1322233961645665e-06
cat__Neighborhood_Blueste,9.965788630450768e-07
cat__Heating_Floor,6.456127905242758e-07
cat__SaleCondition_AdjLand,5.649571781167726e-07
cat__MiscFeature_Gar2,5.384919414787807e-07
cat__MiscFeature_Othr,5.260599245960249e-07
cat__GarageCond_Ex,1.8769818027884873e-07
cat__SaleType_Oth,1.6016022383976889e-07
cat__Exterior1st_ImStucc,1.109991773189556e-07
cat__Condition2_RRNn,9.960238220528819e-08
cat__Exterior1st_CBlock,9.488525801471173e-08
cat__HeatingQC_Po,7.991842677303276e-08
cat__RoofMatl_Roll,3.867122530217567e-08
cat__ExterCond_Po,3.354515569193729e-08
cat__Utilities_NoSeWa,3.0479881367561706e-08
cat__Condition2_RRAn,2.706940818560417e-08
cat__Exterior2nd_Other,1.613829601830102e-08
cat__Exterior2nd_CBlock,9.312910752263695e-09
cat__Condition2_RRAe,4.7463000914932395e-09
cat__Condition1_RRNe,2.5955803845818108e-09
cat__Utilities_AllPub,2.2216263386011455e-09
cat__BsmtCond_Po,4.706477816741309e-10
cat__Condition2_PosA,0.0
